video_id,tags,view
2kyS6SvSYSE,SHANtell martin,748374
1ZAPwfrtAFY,"last week tonight trump presidency|""last week tonight donald trump""|""john oliver trump""|""donald trump""",2418783
5qpjK5DgCt4,"racist superman|""rudy""|""mancuso""|""king""|""bach""|""racist""|""superman""|""love""|""rudy mancuso poo bear black white official music video""|""iphone x by pineapple""|""lelepons""|""hannahstocking""|""rudymancuso""|""inanna""|""anwar""|""sarkis""|""shots""|""shotsstudios""|""alesso""|""anitta""|""brazil""|""Getting My Driver's License | Lele Pons""",3191434
puqaWrEC7tY,"rhett and link|""gmm""|""good mythical morning""|""rhett and link good mythical morning""|""good mythical morning rhett and link""|""mythical morning""|""Season 12""|""nickelback lyrics""|""nickelback lyrics real or fake""|""nickelback""|""nickelback songs""|""nickelback song""|""rhett link nickelback""|""gmm nickelback""|""lyrics (website category)""|""nickelback (musical group)""|""rock""|""music""|""lyrics""|""chad kroeger""|""canada""|""music (industry)""|""mythical""|""gmm challenge""|""comedy""|""funny""|""challenge""",343168
d380meD0W0M,"ryan|""higa""|""higatv""|""nigahiga""|""i dare you""|""idy""|""rhpc""|""dares""|""no truth""|""comments""|""comedy""|""funny""|""stupid""|""fail""",2095731
gHZ1Qz0KiKM,"ijustine|""week with iPhone X""|""iphone x""|""apple""|""iphone""|""iphone x review""|""iphone x unboxing""",119180
39idVpFF7NQ,"SNL|""Saturday Night Live""|""SNL Season 43""|""Episode 1730""|""Tiffany Haddish""|""Roy Moore""|""Mikey Day""|""Mike Pence""|""Beck Bennett""|""Jeff Sessions""|""Kate McKinnon""|""s43""|""s43e5""|""episode 5""|""live""|""new york""|""comedy""|""sketch""|""funny""|""hilarious""|""late night""|""host""|""music""|""guest""|""laugh""|""impersonation""|""actor""|""improv""|""musician""|""comedian""|""actress""|""If Loving You Is Wrong""|""Oprah Winfrey""|""OWN""|""Girls Trip""|""The Carmichael Show""|""Keanu""|""Taylor Swift""|""Reputation""|""Look What You Made Me Do""|""ready for it?""|""cold open""",2103417
nc99ccSXST0,"5 Ice Cream Gadgets|""Ice Cream""|""Cream Sandwich Maker""|""gadgets""|""gadget review""|""review""|""unboxing""|""kitchen gadgets""|""Gadgets put to the Test""|""testing""|""10 Kitchen Gadgets""|""7 Camping Coffee Gadgets""|""10 Kitchen Gadgets put to the Test""",817732
jr9QtXwC9vc,"Trailer|""Hugh Jackman""|""Michelle Williams""|""Zac Efron""|""Zendaya""|""Rebecca Ferguson""|""pasek and paul""|""la la land""|""moulin rouge""|""high school musical""|""hugh jackman musical""|""zac efron musical""|""musical""|""the greatest showman""|""greatest showman""|""Michael Gracey""|""P.T. Barnum""|""Barnum and Bailey""|""Barnum Circus""|""Barnum and Bailey Circus""|""20th century fox""|""greatest showman trailer""|""trailer""|""official trailer""|""the greatest showman trailer""|""logan""|""Benj Pasek""|""Justin Paul""",826059
TUmyygCMMGA,"vox.com|""vox""|""explain""|""shift change""|""future of work""|""automation""|""robots""|""jobs""|""technological unemployment""|""joss fong""|""heidi shierholz""|""martin ford""|""rise of the robots""|""humans""|""workers""|""employment""|""economics""|""macroeconomics""|""silicon valley""|""basic income""",256426
9wRQljFNDW8,"NFL|""Football""|""offense""|""defense""|""afc""|""nfc""|""American Football""|""highlight""|""highlights""|""game""|""games""|""sport""|""sports""|""action""|""play""|""plays""|""season""|""2017""|""rookie""|""rookies""|""recap""|""run""|""sprint""|""catch""|""huge""|""amazing""|""touchdown""|""td""|""week 9""|""wk 9""|""new england""|""patriots""|""pats""|""denver""|""broncos""|""lewis""|""kickoff""|""kick return""|""return td""|""special teams""|""sp:dt=2017-11-12T20:30:00-05:00""|""sp:vl=en-US""|""sp:st=football""|""sp:li=nfl""|""sp:ti:home=Den""|""sp:ti:away=NE""|""sp:scp=athlete_in_match""|""sp:ty=high""|""nfl-lewdio""",81377
